artist,artist_id,followers,genres,popularity
Thomas Gold,1XLjkBxFokuDTlHt0mQkRe,88709,"[u'big room', u'deep big room', u'deep pop edm', u'edm', u'electro house', u'funky tech house', u'german techno', u'progressive electro house', u'progressive house', u'sky room']",51
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,1315316,[u'contemporary country'],73
Alesso,4AVFqumd2ogHFlRbKIjp1t,2060375,"[u'big room', u'edm', u'electro house', u'pop', u'progressive electro house', u'tropical house']",74
Aaron Carter,5338fdSzGNOFD4cxAxDTeq,104432,"[u'dance pop', u'post-teen pop']",50
Kaleo,7jdFEYD2LTYjfwxOdlVjmc,564477,"[u'icelandic indie', u'modern alternative rock']",66
Journey,0rvjqX7ttXeg3mTy8Xscbt,1457828,"[u'album rock', u'hard rock', u'mellow gold', u'rock', u'soft rock']",71
Katy Perry,6jJ0s89eD6GaHleKKya26X,10699821,"[u'dance pop', u'pop', u'post-teen pop']",80
Axwell /\ Ingrosso,2XnBwblw31dfGnspMIwgWz,1250725,"[u'big room', u'edm', u'pop', u'tropical house']",74
Nick Jonas,4Rxn7Im3LGfyRkY2FlHhWi,3151142,"[u'dance pop', u'pop', u'post-teen pop', u'viral pop']",71
Sigrid,4TrraAsitQKl821DQY42cZ,186600,"[u'norwegian pop', u'pop']",67
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,4394614,[u'pop'],88
XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,4662689,[],95
Burak Yeter,4ON1ruy5ijE7ZPQthbrkgI,56743,[],62
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,1998806,"[u'dance pop', u'pop', u'post-teen pop', u'viral pop']",70
BTS,3Nrfpe0tUJi4K4DXYWgMUX,5481385,[u'k-pop'],87
Marian Hill,1xHQO9GJIW9OXHxGBISYc5,351858,[u'electropop'],62
