track_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,duration_ms,loudness,mode,valence
20ZP3Om9DvDazXrNUC7WM2,0.798,0.15,92.207,0.0451,0.188,0.0,0.654,0,211760.0,-4.084,1,0.574
4pbJqGIASGPr0ZpGpnWkDn,0.497,0.259,81.308,0.119,0.676,0.0,0.692,2,122067.0,-7.316,1,0.475
4kWO6O1BUXcZmaxitpVUwp,0.834,0.0586,128.005,0.045,0.374,0.0,0.747,3,215760.0,-2.867,0,0.687
7sO5G9EABYOXQKNPNiE9NR,0.428,0.114,100.007,0.206,0.149,5.07e-05,0.88,9,172800.0,-8.28,1,0.333
2RttW7RAu5nOAfq6YFvApB,0.385,0.135,89.792,0.0288,0.536,0.0,0.522,0,207520.0,-7.355,1,0.236
60SdxE8apGAxMiRrpbmLY0,0.786,0.127,153.068,0.306,0.0627,0.0,0.876,10,244679.0,-4.884,0,0.575
7KXjTSCq5nL1LoYtL7XAwS,0.621,0.0958,150.011,0.102,0.000282,5.39e-05,0.908,1,177000.0,-6.638,0,0.421
74lnM5V6ecvoTPV0fvptx9,0.617,0.734,149.962,0.442,0.113,0.0,0.808,10,166400.0,-9.32,0,0.632
3S0OXQeoh0w6AY8WQVckRW,0.457,0.105,150.953,0.0468,0.595,0.0,0.686,11,242187.0,-8.322,1,0.718
3GVkPk8mqxz0itaAriG1L7,0.57,0.112,129.953,0.133,0.847,2.14e-05,0.734,7,95467.0,-7.066,0,0.689
3CA9pLiwRIGtUBiMjbZmRw,0.909,0.119,93.394,0.0705,0.0891,0.000109,0.586,8,210747.0,-6.474,1,0.757
0lsRatBUs9HNIZAmoGABzk,0.412,0.0659,126.754,0.0301,0.488,0.00016,0.689,7,184060.0,-7.523,0,0.537
2374M0fQpWi3dLnB54qaLX,0.373,0.0481,92.717,0.0323,0.257,7.95e-05,0.671,9,295893.0,-18.064,1,0.732
1DcxnVNFAyVl2sDQ646pXS,0.65,0.122,92.975,0.109,0.363,8.17e-05,0.786,4,129040.0,-6.839,1,0.712
0m0Ew7RcwZaBS8psxgE00P,0.581,0.127,123.982,0.0577,0.548,0.0,0.629,1,195484.0,-7.541,0,0.388
5Gu0PDLN4YJeW75PpBSg9p,0.708,0.0841,103.073,0.0473,0.0337,0.0,0.663,8,174800.0,-4.154,1,0.742
5qqabIl2vWzo9ApSC317sa,0.896,0.194,174.302,0.0407,0.000452,0.0,0.378,2,258773.0,-4.066,1,0.469
6RUKPb4LETWmmr3iAEQktW,0.635,0.164,103.019,0.0317,0.0498,1.44e-05,0.617,11,247160.0,-6.769,0,0.446
